date, time, date_time, user,body_part, step, set1, set2, set3
2014-02-23,19-08,2014-02-23-19-08,bobby,Lower Body,2,12,12,12
2014-02-23,19-18,2014-02-23-19-18,t,Core (Back),t,,,
2014-02-23,19-23,2014-02-23-19-23,5,Core (Back),5,,,
2014-02-23,19-26,2014-02-23-19-26,k,Lower Body,10,7,7,7
2014-02-23,19-29,2014-02-23-19-29,y,Lower Body,0,1234rt67,123456,`123456
2014-02-23,19-33,2014-02-23-19-33,y,Lower Body,6,77,77,77

2014-02-23,20-33,2014-02-23-20-33,t,
2014-02-23,20-35,2014-02-23-20-35,e,Shoulders (Push),3,12,12,12
2014-02-23,20-40,2014-02-23-20-40,j,Chest,1,1,12,12
2014-02-23,20-43,2014-02-23-20-43,bobby,Core (Back),4,12,12,12
2014-02-23,20-44,2014-02-23-20-44,bobby,Core (Back),10,12,12,12
2014-02-23,20-52,2014-02-23-20-52,robert,Grip (Hang),3,12,12,12
2014-02-23,20-56,2014-02-23-20-56,n,Grip (Hang),6,99,99,99
2014-02-23,20-56,2014-02-23-20-56,n,Lower Body,7,98,89,89
2014-02-23,21-27,2014-02-23-21-27,g,Grip (Hang),10,1,1,1
2014-02-24,21-44,2014-02-24-21-44,bobby,Grip (Hang),1,10,10,10
2014-02-24,22-51,2014-02-24-22-51,bobby,Core (Abs),0,12,12,12
2014-02-24,23-01,2014-02-24-23-01,bobby,Core (Back),
2014-02-24,23-02,2014-02-24-23-02,j,Core (Back),9,4,4,4
2014-02-24,23-02,2014-02-24-23-02,j,Shoulders (Push),3,3,3,3
